analysis_id,h6c7f8mg8673dhy
gene_symbol,Bcs1l
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914071
parameter_name,Coat - hair distribution - head
pvalue,0.9809065
parameter_id,IMPC_CSD_012_001
