parameter_name,Upper teeth appearance
pvalue,0.8937123
gene_symbol,Morn5
gene_accession_id,MGI:1922745
analysis_id,vh594r22xs05d7i
mouse_strain,C57BL
parameter_id,IMPC_CSD_069_001
mouse_life_stage,Early adult
