analysis_id,o00664zv6c2329x
pvalue,0.2161198
parameter_id,IMPC_CSD_028_001
mouse_strain,C57BL
parameter_name,Snout size
mouse_life_stage,Early adult
gene_symbol,Arpc5l
gene_accession_id,MGI:1921442
