gene_symbol,Sfpq
mouse_life_stage,Early adult
analysis_id,xk58x39nv2c1277
mouse_strain,C57BL
parameter_id,IMPC_ECG_004_001
pvalue,0.6129042
parameter_name,RR
gene_accession_id,MGI:1918764
