analysis_id,56g832bv547pd12
parameter_id,IMPC_CSD_029_001
gene_symbol,Rnf114
parameter_name,Activity (body position)
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.706959
gene_accession_id,MGI:1933159
