parameter_name,Total T cell percentage
pvalue,0.5957794
gene_accession_id,MGI:1345282
parameter_id,MGP_PBI_001_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,7952f24k04do374
gene_symbol,Slc30a4
