parameter_id,GMC_906_001_005
analysis_id,2k2czpb3u42oi9c
mouse_life_stage,Early adult
pvalue,0.3284044
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
parameter_name,Potassium
mouse_strain,C57BL
