analysis_id,2473ff3g0m6zxwl
pvalue,0.1858668
parameter_name,Startle response
parameter_id,MGP_CSD_008_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Tatdn3
gene_accession_id,MGI:1916222
