analysis_id,d3thwt5sk4e05h2
parameter_id,IMPC_EYE_092_001
mouse_life_stage,Early adult
parameter_name,Retina (combined)
mouse_strain,C57BL
pvalue,0.2178583
gene_accession_id,MGI:1338022
gene_symbol,Opn3
