analysis_id,f3510e64h1snk43
gene_accession_id,MGI:3045306
pvalue,0.4085626
parameter_id,IMPC_IMM_047_001
gene_symbol,Exd1
mouse_life_stage,Early adult
parameter_name,DN CD44+CD62L+ NKT cells
mouse_strain,C57BL
