mouse_strain,129SV
gene_accession_id,MGI:99605
parameter_name,B Cells
gene_symbol,Cntfr
mouse_life_stage,Early adult
pvalue,0.6748709
analysis_id,607fn714j0942f8
parameter_id,IMPC_IMM_063_001
