parameter_name,Eye
mouse_strain,C57BL
pvalue,0.5419946
parameter_id,M-G-P_014_001_001
mouse_life_stage,Early adult
gene_symbol,Car13
gene_accession_id,MGI:1931322
analysis_id,ztbj1t69971bi8y
