gene_symbol,Golm2
parameter_id,M-G-P_008_001_013
pvalue,0.5601877
parameter_name,Startle Response
analysis_id,37a0665n89e74ue
mouse_strain,C57BL
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
