parameter_name,Tibia length
gene_symbol,Lamb3
pvalue,0.05108248
parameter_id,TCPLA_XRY_033_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,r74n89gywoxmko1
gene_accession_id,MGI:99915
