gene_symbol,Dnaaf9
analysis_id,l675254z99o0n9z
mouse_life_stage,Early adult
pvalue,0.2031143
mouse_strain,C57BL
parameter_name,MZB (CD21/35 high)
gene_accession_id,MGI:1923029
parameter_id,IMPC_IMM_071_001
