analysis_id,600m6tzx1zc7g31
gene_symbol,Sfpq
parameter_id,JAX_OFD_014_001
gene_accession_id,MGI:1918764
pvalue,0.6095884
mouse_life_stage,Early adult
mouse_strain,C53BL
parameter_name,Center distance travelled
