gene_symbol,Orc2
gene_accession_id,MGI:1328306
parameter_name,Resting Treg cells - % of CD45+
mouse_life_stage,E9.5
pvalue,0.9639643
mouse_strain,C57BL
analysis_id,5yp6443x98m62p9
parameter_id,MGP_MLN_071_001
