parameter_name,Startle response
parameter_id,HMGULA_SHI_009_001
gene_accession_id,MGI:88461
gene_symbol,Col6a3
mouse_life_stage,Early adult
pvalue,0.4676922
analysis_id,w47uw0957jdl214
mouse_strain,C57BL
