analysis_id,9cxdmm6er42y9oz
pvalue,0.4317469
gene_accession_id,MGI:96757
parameter_name,Embryo turning
parameter_id,IMPC_GEL_011_001
mouse_strain,C57BL
gene_symbol,Lcn2
mouse_life_stage,Early adult
