parameter_name,Limb grasping
mouse_strain,C57BL
gene_accession_id,MGI:2441730
mouse_life_stage,Late adult
pvalue,0.8977204
analysis_id,j7cd29tnna7p27i
gene_symbol,Tbl1xr1
parameter_id,ESLIM_008_001_017
