parameter_name,Vocalization
parameter_id,IMPC_CSD_078_001
analysis_id,29dgwswkksf2q3a
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
pvalue,0.6904862
mouse_life_stage,Early adult
mouse_strain,C57BL
