analysis_id,i362636jw30p3fn
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_047_001
parameter_name,Hindlimb digit - size
mouse_strain,C57BL
pvalue,0.1282634
gene_accession_id,MGI:2685266
gene_symbol,Pglyrp3
