analysis_id,152j7125p5g16t2
mouse_life_stage,Early adult
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_strain,C57BL
gene_symbol,Lurap1
parameter_id,MGP_PBI_010_001
gene_accession_id,MGI:1915325
pvalue,0.8269405
