parameter_name,Glucose
mouse_strain,129SV
pvalue,0.7285566
mouse_life_stage,Early adult
gene_symbol,Cds2
gene_accession_id,MGI:1332236
analysis_id,a62vg1680my8f86
parameter_id,IMPC_CBC_018_001
