analysis_id,bwx1et32632n3u8
gene_symbol,Ahctf1
mouse_strain,C57BL
parameter_name,center - distance
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
pvalue,0.4359337
parameter_id,M-G-P_007_001_010
