parameter_name,Lens Opacity
pvalue,0.9173653
mouse_strain,C57BL
parameter_id,IMPC_EYE_017_001
analysis_id,263q7829quwpht0
mouse_life_stage,Early adult
gene_accession_id,MGI:2673000
gene_symbol,Trim46
