gene_symbol,Cdin1
mouse_strain,C57BL
mouse_life_stage,E9.5
analysis_id,459a606025m413f
gene_accession_id,MGI:3026886
parameter_name,Hemorrhage
parameter_id,IMPC_GEO_009_002
pvalue,0.2673965
