parameter_name,Shape of vertebrae
parameter_id,IMPC_XRY_018_001
pvalue,0.3530962
mouse_life_stage,Early adult
gene_accession_id,MGI:2444113
analysis_id,072co946g8v43bj
mouse_strain,C57BL
gene_symbol,Nemp2
