analysis_id,81p0384k40i50de
gene_accession_id,MGI:95457
pvalue,0.8010857
gene_symbol,Mecom
parameter_id,MGP_IMM_013_001
mouse_life_stage,Early adult
parameter_name,Total CD8+ T cells - % of ab T cells
mouse_strain,C3H
