analysis_id,od3kp8780pu6j05
parameter_name,Resting CD8+ T cells - % of CD8+
mouse_strain,C57BL
gene_symbol,F2
parameter_id,MGP_MLN_014_001
mouse_life_stage,Early adult
pvalue,0.8106544
gene_accession_id,MGI:88380
