parameter_name,NK Subsets (Q1)
gene_accession_id,MGI:2446274
parameter_id,IMPC_IMM_054_001
analysis_id,n0p9s517i8iy927
gene_symbol,Frmpd1
mouse_strain,C57BL
pvalue,0.6389722
mouse_life_stage,Late adult
