gene_symbol,Atf3
parameter_id,ESLIM_016_001_003
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Haemoglobin
analysis_id,y2579r81o20uji0
gene_accession_id,MGI:109384
pvalue,0.1658625
