analysis_id,f2kbod0aqce04g2
mouse_strain,C51BL
parameter_name,Startle Response
gene_symbol,Bmp7
pvalue,0.8146827
mouse_life_stage,Early adult
gene_accession_id,MGI:103302
parameter_id,M-G-P_008_001_013
