analysis_id,ej70ui24id80g4r
gene_accession_id,MGI:1915325
mouse_life_stage,Early adult
pvalue,0.8932161
gene_symbol,Lurap1
parameter_name,Prepulse inhibition - PP2
parameter_id,ESLIM_011_001_702
mouse_strain,C57BL
