analysis_id,5ku177vv61ad0mo
mouse_life_stage,Early adult
gene_accession_id,MGI:1914050
pvalue,0.5950664
mouse_strain,C57BL
parameter_id,HRWLLA_CBC_014_001
parameter_name,Alkaline phosphatase
gene_symbol,Trp53rkb
