analysis_id,x0dd79mdobp6154
gene_accession_id,MGI:1860103
mouse_strain,C57BL
parameter_name,Effector NK cells - % of NK cells
parameter_id,MGP_MLN_032_001
gene_symbol,Slc2a8
pvalue,0.9319588
mouse_life_stage,Early adult
