parameter_name,Global prepulse inhibition
analysis_id,59x564efl949lg6
gene_symbol,Bpifa3
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
pvalue,0.9274853
parameter_id,ESLIM_011_001_705
