analysis_id,zzvd76i0g10g005
parameter_id,IMPC_CBC_008_001
mouse_strain,C57BL
gene_symbol,Ppm1j
gene_accession_id,MGI:1919137
pvalue,0.9736525
mouse_life_stage,Early adult
parameter_name,Total bilirubin
