analysis_id,2r6e06je7b4x3eo
gene_symbol,Bcs1l
pvalue,0.1316401
parameter_id,IMPC_CBC_006_001
parameter_name,Total protein
mouse_strain,C57BL
gene_accession_id,MGI:1914071
mouse_life_stage,Early adult
