parameter_name,Dark side time spent
mouse_strain,C57BL
gene_accession_id,MGI:1345282
parameter_id,JAX_LDT_004_001
mouse_life_stage,Early adult
gene_symbol,Slc30a4
pvalue,0.870578
analysis_id,l35n91c16yj1x8j
