parameter_name,Response amplitude - S
pvalue,6.828515e-05
parameter_id,IMPC_ACS_006_001
gene_symbol,Sgip1
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,55ocq6581g10jwi
