analysis_id,13xh8t252605dzq
gene_symbol,Zyg11b
mouse_life_stage,Early adult
parameter_name,Calcium
gene_accession_id,MGI:2685277
mouse_strain,C57BL
pvalue,0.9211785
parameter_id,HMGULA_CBC_009_001
