parameter_id,IMPC_ECH_003_001
mouse_life_stage,Early adult
analysis_id,1ri20j8bu99h20w
pvalue,0.1186214
gene_symbol,Sema6c
mouse_strain,C57BL
parameter_name,Stroke Volume
gene_accession_id,MGI:1338032
