parameter_id,IMPC_ACS_035_001
mouse_life_stage,Early adult
gene_symbol,Ntmt2
mouse_strain,C57BL
pvalue,0.4985661
analysis_id,b788058wf1zu963
parameter_name,% Pre-pulse inhibition - PPI3
gene_accession_id,MGI:2685053
