gene_symbol,Mecom
gene_accession_id,MGI:95457
parameter_name,B Cells
mouse_strain,C3H
pvalue,0.6072847
parameter_id,IMPC_IMM_063_001
mouse_life_stage,Early adult
analysis_id,z97rsr575680480
