analysis_id,591c598lz6o03h8
gene_accession_id,MGI:109356
mouse_life_stage,Middle aged adult
parameter_name,Red blood cell count
pvalue,0.6979716
mouse_strain,C57BL
parameter_id,IMPC_HEM_002_001
gene_symbol,Snap23
