gene_symbol,Frmpd1
parameter_id,M-G-P_006_001_026
analysis_id,i364672hud328rl
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2810931
parameter_name,Fusion of vertebrae
