parameter_name,Joints
analysis_id,82sg5892c23206y
parameter_id,IMPC_XRY_027_001
mouse_strain,129SV
gene_symbol,Inpp1
pvalue,0.3793518
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
