gene_symbol,Rab22a
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4797132
parameter_id,ESLIM_016_001_005
analysis_id,w32wz69iwii3v6j
gene_accession_id,MGI:105072
parameter_name,Mean cell volume
