gene_symbol,Nucks1
mouse_life_stage,Middle aged adult
pvalue,0.8351551
parameter_name,Large Unstained Cell (LUC) count
mouse_strain,C57BL
parameter_id,IMPC_HEM_039_001
gene_accession_id,MGI:1934811
analysis_id,fcl7701pt6wd27y
