parameter_name,Respiration Rate
parameter_id,IMPC_ECH_018_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
analysis_id,218wh2w9t299vq4
mouse_strain,C57BL
gene_symbol,Col6a3
pvalue,0.5618181
