gene_symbol,Duoxa2
pvalue,0.9154571
parameter_id,IMPC_GPP_004_001
gene_accession_id,MGI:1914061
mouse_strain,C57BL
parameter_name,Placenta Size
mouse_life_stage,Early adult
analysis_id,p696h4o87x0kdn7
