parameter_name,Prepulse inhibition - PP3
analysis_id,4x8ju9898v9z7r1
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
gene_symbol,Traf6
mouse_strain,C57BL
parameter_id,ESLIM_011_001_703
pvalue,0.5564005
