gene_symbol,Hnf4a
gene_accession_id,MGI:109128
analysis_id,5ndeo4v98b95554
parameter_id,IMPC_CBC_009_001
pvalue,0.2362345
mouse_strain,C57BL
parameter_name,Calcium
mouse_life_stage,Late adult
