gene_symbol,AU040320
gene_accession_id,MGI:2140475
mouse_life_stage,Early adult
parameter_name,Macrophages - % of CD45+
analysis_id,dd38g51sp695915
parameter_id,MGP_IMM_121_001
mouse_strain,C57BL
pvalue,0.6274579
