parameter_name,Pericardium Morphology
gene_symbol,Secisbp2l
pvalue,0.9468867
gene_accession_id,MGI:1917604
mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,77m05u0g7q26f22
parameter_id,IMPC_GEL_006_001
