analysis_id,y25k709d5x03dp6
gene_symbol,Bmi1
parameter_name,Percentage center time
mouse_strain,C57BL
gene_accession_id,MGI:88174
pvalue,0.619222
parameter_id,IMPC_OFD_022_001
mouse_life_stage,Early adult
