analysis_id,azd22b38xq0cd0j
parameter_id,IMPC_EYE_024_001
gene_symbol,Bcs1l
parameter_name,Retinal Blood Vessels
gene_accession_id,MGI:1914071
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.1839309
