parameter_name,RR
mouse_strain,C57BL
gene_symbol,Psd4
pvalue,0.4905323
analysis_id,sklho2zewd73703
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
parameter_id,IMPC_ECG_004_001
