gene_symbol,Pld1
analysis_id,50l41hg6pkb54w0
parameter_name,Conditioning Baseline % Freezing Time
mouse_life_stage,Early adult
parameter_id,IMPC_FEA_003_001
pvalue,0.1768424
gene_accession_id,MGI:109585
mouse_strain,C57BL
