parameter_name,Embryo Size
parameter_id,IMPC_GEL_032_001
pvalue,0.6419196
mouse_strain,C57BL
analysis_id,fzmy18y39s03dx6
mouse_life_stage,E15.5
gene_symbol,Mecom
gene_accession_id,MGI:95457
