parameter_name,Weight
mouse_life_stage,Early adult
parameter_id,M-G-P_005_001_001
gene_symbol,Trdmt1
analysis_id,3153055s8795638
mouse_strain,C57BL
gene_accession_id,MGI:1274787
pvalue,0.517589
