analysis_id,96295bo6a6p02r1
mouse_life_stage,Early adult
gene_symbol,Frmpd1
pvalue,0.6506668
parameter_name,DN CD44+CD62L+ NKT cells
gene_accession_id,MGI:2446274
parameter_id,IMPC_IMM_047_001
mouse_strain,C57BL
