mouse_life_stage,Late adult
parameter_name,Left total retinal thickness
analysis_id,12ayl5toqof75o1
gene_symbol,Slc30a4
mouse_strain,C57BL
parameter_id,IMPC_EYE_068_001
Gene_accession_id,MGI:1345282
pvalue,0.4849656
